,open,high,low,close,volume,value
2025-04-29 19:32:00,136944000.0,136944000.0,136933000.0,136934000.0,0.08862368,12135647.44481
2025-04-29 19:32:00,136944000.0,136944000.0,136934000.0,136934000.0,0.05088927,6968531.8528
2025-04-29 19:32:00,136944000.0,136944000.0,136933000.0,136935000.0,0.10603365,14519681.5636
2025-04-29 19:32:00,136944000.0,136944000.0,136920000.0,136924000.0,0.2072857,28384307.55279
2025-04-29 19:32:00,136944000.0,136944000.0,136920000.0,136920000.0,0.18194191,24914105.70615
2025-04-29 19:32:00,136944000.0,136944000.0,136934000.0,136934000.0,0.06594345,9029960.93692
2025-04-29 19:32:00,136944000.0,136944000.0,136933000.0,136935000.0,0.10610667,14529680.5573
2025-04-29 19:32:00,136944000.0,136944000.0,136933000.0,136934000.0,0.10211691,13983342.82162
2025-04-29 19:32:00,136944000.0,136944000.0,136933000.0,136934000.0,0.06853346,9384618.81641
2025-04-29 19:32:00,136944000.0,136944000.0,136933000.0,136934000.0,0.12531653,17160181.76512
2025-04-29 19:32:00,136944000.0,136944000.0,136933000.0,136935000.0,0.10204367,13973313.77546
2025-04-29 19:32:00,136944000.0,136944000.0,136920000.0,136930000.0,0.19315574,26449555.30975
2025-04-29 19:32:00,136944000.0,136944000.0,136933000.0,136933000.0,0.0684933,9379119.54697
2025-04-29 19:32:00,136944000.0,136944000.0,136920000.0,136924000.0,0.20655574,28284358.50975
2025-04-29 19:32:00,136944000.0,136944000.0,136944000.0,136944000.0,0.00129615,177499.9656
2025-04-29 19:32:00,136944000.0,136944000.0,136920000.0,136930000.0,0.19055574,26093537.30975
2025-04-29 19:32:00,136944000.0,136944000.0,136933000.0,136933000.0,0.0659933,9036787.04697
2025-04-29 19:32:00,136944000.0,136944000.0,136920000.0,136930000.0,0.19575574,26805573.30975
2025-04-29 19:32:00,136944000.0,136944000.0,136933000.0,136935000.0,0.10323365,14136263.5636
2025-04-29 19:32:00,136944000.0,136944000.0,136933000.0,136935000.0,0.12434525,17027180.5096
2025-04-29 19:32:00,136944000.0,136944000.0,136920000.0,136930000.0,0.19675574,26942503.30975
2025-04-29 19:32:00,136944000.0,136944000.0,136935000.0,136935000.0,0.04888927,6694663.8528
2025-04-29 19:33:00,136924000.0,136930000.0,136920000.0,136930000.0,0.10461584,14324543.3986
2025-04-29 19:33:00,136924000.0,136930000.0,136920000.0,136924000.0,0.07361888,10080310.87852
2025-04-29 19:33:00,136924000.0,136930000.0,136920000.0,136924000.0,0.04842771,6630982.60138
2025-04-29 19:33:00,136924000.0,136930000.0,136920000.0,136930000.0,0.05850866,8011349.11524
2025-04-29 19:33:00,136924000.0,136930000.0,136920000.0,136924000.0,0.10190646,13953563.86436
2025-04-29 19:33:00,136924000.0,136930000.0,136920000.0,136924000.0,0.05814141,7961061.57274
2025-04-29 19:33:00,136924000.0,136924000.0,136924000.0,136924000.0,0.00107718,147491.79432
2025-04-29 19:33:00,136924000.0,136924000.0,136924000.0,136924000.0,0.03262079,4466569.04996
2025-04-29 19:33:00,136924000.0,136930000.0,136920000.0,136930000.0,0.04769775,6531033.55834
2025-04-29 19:33:00,136924000.0,136924000.0,136920000.0,136924000.0,0.03652474,5001113.29904
2025-04-29 19:33:00,136924000.0,136930000.0,136920000.0,136930000.0,0.04369775,5983313.55834
2025-04-29 19:33:00,136924000.0,136924000.0,136920000.0,136924000.0,0.03413157,4673430.88996
2025-04-29 19:33:00,136924000.0,136930000.0,136920000.0,136924000.0,0.10455132,14315708.675
2025-04-29 19:33:00,136924000.0,136930000.0,136920000.0,136924000.0,0.08162183,11176106.80432
2025-04-29 19:33:00,136924000.0,136930000.0,136920000.0,136930000.0,0.05806817,7951033.25898
2025-04-29 19:33:00,136924000.0,136930000.0,136920000.0,136924000.0,0.09924427,13589041.77888
2025-04-29 19:33:00,136924000.0,136930000.0,136920000.0,136924000.0,0.05134941,7031033.45218
2025-04-29 19:34:00,136930000.0,136945000.0,136829000.0,136890000.0,0.59748613,81811323.81211
2025-04-29 19:34:00,136930000.0,136945000.0,136890000.0,136945000.0,0.54133905,74124084.86244
2025-04-29 19:34:00,136930000.0,136945000.0,136829000.0,136937000.0,0.58800295,80513171.30191
2025-04-29 19:34:00,136930000.0,136945000.0,136829000.0,136890000.0,0.59628613,81647055.81211
2025-04-29 19:34:00,136930000.0,136941000.0,136900000.0,136900000.0,0.50117351,68624035.74149
2025-04-29 19:34:00,136930000.0,136941000.0,136890000.0,136890000.0,0.50482644,69124085.32919
2025-04-29 19:34:00,136930000.0,136945000.0,136829000.0,136937000.0,0.58790496,80499752.84528
2025-04-29 19:34:00,136930000.0,136930000.0,136930000.0,136930000.0,0.11822219,16188164.4767
2025-04-29 19:34:00,136930000.0,136945000.0,136829000.0,136890000.0,0.55750263,76336651.98492
2025-04-29 19:34:00,136930000.0,136930000.0,136930000.0,136930000.0,0.02398581,3284376.9633
2025-04-29 19:34:00,136930000.0,136941000.0,136920000.0,136920000.0,0.49501157,67780466.15549
2025-04-29 19:34:00,136930000.0,136930000.0,136930000.0,136930000.0,0.11647156,15948450.7108
2025-04-29 19:34:00,136930000.0,136930000.0,136930000.0,136930000.0,0.19173084,26253703.9212
2025-04-29 19:34:00,136930000.0,136941000.0,136930000.0,136941000.0,0.19406091,26572785.14705
2025-04-29 19:34:00,136930000.0,136945000.0,136829000.0,136829000.0,0.55018818,75335070.20377
